D3V78PII-R8VPNZYFI,40.0,BACKUP
ZN3KPEQD-J0OUB104D,100.0,EX_DISK
RDIBO08N-K1OR8LLVA,1000.0,EX_DISK
FL259OHU-6NAPA090M,40.0,EX_DISK
BWVV1CVN-UBZ5O4EXP,10.0,EX_DISK
D3V78PII-CTGBR4JB7,10.0,EX_DISK
ZN3KPEQD-EVI9ESB1O,100.0,BACKUP
ZN3KPEQD-WD0S8N2U2,100.0,EX_DISK
GYANE3YW-FWJLDLNQ6,100.0,EX_DISK
NT52LI7Z-6NAIJS8EN,100.0,EX_DISK
KON21EV4-R8V3ICYAB,1000.0,EX_DISK
6LAMBGJ6-IZNSBE9JD,10.0,BACKUP
NT52LI7Z-AREMNXZLO,10.0,BACKUP
2RWGRE7S-P6TOVQBQL,10.0,BACKUP
1RX9VPKQ-YF2RDGOUA,20.0,EX_DISK
2RWGRE7S-8PC63SFK3,10.0,EX_DISK
D3V78PII-0H5AP5VWQ,10.0,EX_DISK
QKGBH4JI-R8VAXXNBC,50.0,EX_DISK
2RWGRE7S-TAYXE7TXX,10.0,EX_DISK
NT52LI7Z-HYLTU3C43,100.0,EX_DISK
