Organization,VSYS,type,size(GB)
6LAMBGJ6,6LAMBGJ6-IZNSBE9JD,sysvol,18
6LAMBGJ6,6LAMBGJ6-IZNSBE9JD,BACKUP,10
6LAMBGJ6,6LAMBGJ6-IZNSBE9JD,Total,28
6LAMBGJ6,-,Total,28
CY5NS061,CY5NS061-3K84X8SY1,sysvol,166
CY5NS061,CY5NS061-3K84X8SY1,Total,166
CY5NS061,-,Total,166
I0MNJUP4,I0MNJUP4-5MA6UYTT0,sysvol,108
I0MNJUP4,I0MNJUP4-5MA6UYTT0,Total,108
I0MNJUP4,I0MNJUP4-K1PLC9PIR,sysvol,48
I0MNJUP4,I0MNJUP4-K1PLC9PIR,Total,48
I0MNJUP4,I0MNJUP4-O5TO8T7E6,sysvol,298
I0MNJUP4,I0MNJUP4-O5TO8T7E6,Total,298
I0MNJUP4,I0MNJUP4-BSGP88W60,sysvol,18
I0MNJUP4,I0MNJUP4-BSGP88W60,Total,18
I0MNJUP4,I0MNJUP4-EVJHJ3O62,sysvol,138
I0MNJUP4,I0MNJUP4-EVJHJ3O62,Total,138
I0MNJUP4,-,Total,610
GYANE3YW,GYANE3YW-FWJLDLNQ6,sysvol,18
GYANE3YW,GYANE3YW-FWJLDLNQ6,EX_DISK,100
GYANE3YW,GYANE3YW-FWJLDLNQ6,Total,118
GYANE3YW,-,Total,118
QDNVEEF6,QDNVEEF6-TAXZR1LRP,sysvol,28
QDNVEEF6,QDNVEEF6-TAXZR1LRP,Total,28
QDNVEEF6,-,Total,28
YWPHKZIK,YWPHKZIK-7OBTDDEXZ,sysvol,18
YWPHKZIK,YWPHKZIK-7OBTDDEXZ,Total,18
YWPHKZIK,-,Total,18
LVDMJL47,LVDMJL47-HYK7A3386,sysvol,58
LVDMJL47,LVDMJL47-HYK7A3386,Total,58
LVDMJL47,LVDMJL47-HYK7695MS,sysvol,58
LVDMJL47,LVDMJL47-HYK7695MS,Total,58
LVDMJL47,-,Total,116
KPKOFZCC,KPKOFZCC-CTHNBCLSO,sysvol,8
KPKOFZCC,KPKOFZCC-CTHNBCLSO,Total,8
KPKOFZCC,KPKOFZCC-XE27J34T1,sysvol,48
KPKOFZCC,KPKOFZCC-XE27J34T1,Total,48
KPKOFZCC,KPKOFZCC-XE27JDDAR,sysvol,98
KPKOFZCC,KPKOFZCC-XE27JDDAR,Total,98
KPKOFZCC,-,Total,154
2XU5EPD5,2XU5EPD5-BSF0WIHNV,sysvol,28
2XU5EPD5,2XU5EPD5-BSF0WIHNV,Total,28
2XU5EPD5,-,Total,28
ZN3KPEQD,ZN3KPEQD-EVI9ESB1O,sysvol,336
