ORG ID,VSYS ID,ATTACHED,DETACHED,Total
LTM6S1IE,LTM6S1IE-VCZGQZJJ8,0,1,1
RDIBO08N,RDIBO08N-K1OR8LLVA,1,0,1
I0MNJUP4,I0MNJUP4-5MA6UYTT0,0,1,1
B7CG3ICQ,B7CG3ICQ-O5SPVF6G8,1,0,1
I0MNJUP4,I0MNJUP4-K1PLC9PIR,0,1,1
QDNVEEF6,QDNVEEF6-TAXZR1LRP,1,0,1
GYANE3YW,GYANE3YW-FWJLDLNQ6,1,0,1
I0MNJUP4,I0MNJUP4-EVJHJ3O62,0,1,1
I0MNJUP4,I0MNJUP4-O5TO8T7E6,0,1,1
LMK6NLBK,LMK6NLBK-WD0F27UNL,1,0,1
SULSJAS3,SULSJAS3-K1OJPS4WJ,0,1,1
LVDMJL47,LVDMJL47-HYK7695MS,1,0,1
1RX9VPKQ,1RX9VPKQ-N4S1GJ4R3,1,0,1
YWPHKZIK,YWPHKZIK-7OBTDDEXZ,1,0,1
I0MNJUP4,I0MNJUP4-BSGP88W60,0,1,1
2RWGRE7S,2RWGRE7S-8PC63SFK3,0,1,1
2RWGRE7S,2RWGRE7S-TAYXE7TXX,2,0,2
2CVKG3JH,2CVKG3JH-2J6VBHSPD,0,1,1
KPKOFZCC,KPKOFZCC-XE27J34T1,1,0,1
O6BP6QKY,O6BP6QKY-VCZO1B3JJ,0,2,2
NT52LI7Z,NT52LI7Z-FWJOUKDFQ,1,0,1
FL259OHU,FL259OHU-6NAPA090M,1,0,1
1RX9VPKQ,1RX9VPKQ-VCZPP76UG,0,2,2
O6BP6QKY,O6BP6QKY-ARFL1SPKP,1,0,1
2CVKG3JH,2CVKG3JH-4L82118U7,0,1,1
1RX9VPKQ,1RX9VPKQ-3K7XX9769,0,1,1
LVDMJL47,LVDMJL47-HYK7A3386,0,1,1
NT52LI7Z,NT52LI7Z-O5SXBPD3G,2,1,3
KPKOFZCC,KPKOFZCC-XE27JDDAR,1,0,1
BWVV1CVN,BWVV1CVN-8PD8HPIMR,1,0,1
47SH8MTX,47SH8MTX-ZG38SIUMA,1,1,2
2XU5EPD5,2XU5EPD5-BSF0WIHNV,1,0,1
KON21EV4,KON21EV4-R8V3ICYAB,1,0,1
1RX9VPKQ,1RX9VPKQ-YF2RDGOUA,0,10,10
L4YXMMP1,L4YXMMP1-8PDMVLLJJ,0,1,1
QKGBH4JI,QKGBH4JI-R8VAXXNBC,1,0,1
9RW2SX1M,9RW2SX1M-5M9Y7MCPA,0,1,1
