ContractID,HostRegion,Product ID,Unit,JPY List Price(per unit),JPY List Price,JPY Transfer Price(per unit),JPY Transfer Price
14KGG7P9,DEU,DEU-DK-0003-0002,1876700,0.000190,356.573000,0.000000,0.000000
14KGG7P9,DEU,DEU-VM-0001-0002,22326,0.973000,21723.198000,0.000000,0.000000
14KGG7P9,DEU,DEU-DK-0001-0001,3569160,0.000190,678.140400,0.000000,0.000000
14KGG7P9,DEU,DEU-NW-0002-0011,11214,0.870000,9756.180000,0.000000,0.000000
14KGG7P9,DEU,DEU-IP-0001-0001,14880,0.010000,148.800000,0.000000,0.000000
14KGG7P9,DEU,DEU-VM-0001-0001,1460,0.098200,143.372000,0.000000,0.000000
14KGG7P9,DEU,DEU-NW-0002-0001,4291,0.021500,92.256500,0.000000,0.000000
14KGG7P9,DEU,DEU-DK-0003-0001,2462640,0.000190,467.901600,0.000000,0.000000
14KGG7P9,DEU,DEU-VM-0001-0004,18138,0.787300,14280.047400,0.000000,0.000000
14KGG7P9,DEU,DEU-NW-0001-0001,22,0.010200,0.224400,0.000000,0.000000
14KGG7P9,DEU,DEU-VM-0001-0003,5425,0.393600,2135.280000,0.000000,0.000000
14KGG7P9,DEU,DEU-SD-0001-0001,2243680,0.000190,426.299200,0.000000,0.000000
14KGG7P9,-,Total,-,-,50208.2725,-,0
3Q9PFIFF,SIN,SIN-VM-0001-0002,1488,0.306500,456.072000,0.000000,0.000000
3Q9PFIFF,SIN,SIN-DK-0002-0001,7440,0.000300,2.232000,0.000000,0.000000
3Q9PFIFF,SIN,SIN-NW-0001-0001,33,0.015900,0.524700,0.000000,0.000000
3Q9PFIFF,SIN,SIN-IP-0001-0001,2976,0.015900,47.318400,0.000000,0.000000
3Q9PFIFF,SIN,SIN-DK-0001-0001,89280,0.000300,26.784000,0.000000,0.000000
3Q9PFIFF,SIN,SIN-SD-0001-0001,89280,0.000300,26.784000,0.000000,0.000000
3Q9PFIFF,SIN,SIN-VM-0001-0001,2976,0.153300,456.220800,0.000000,0.000000
3Q9PFIFF,-,Total,-,-,1015.9359,-,0
7T908ELY,USA,USA-IP-0001-0001,1380,0.010000,13.800000,0.000000,0.000000
7T908ELY,USA,USA-SD-0001-0001,44160,0.000250,11.040000,0.000000,0.000000
7T908ELY,USA,USA-DK-0002-0001,37200,0.000250,9.300000,0.000000,0.000000
7T908ELY,USA,USA-DK-0001-0001,85560,0.000250,21.390000,0.000000,0.000000
7T908ELY,-,Total,-,-,55.53,-,0
GPPNPXUJ,DEU,DEU-VM-0001-0002,79765,0.973000,77611.345000,0.000000,0.000000
GPPNPXUJ,DEU,DEU-DK-0003-0002,5394850,0.000190,1025.021500,0.000000,0.000000
GPPNPXUJ,DEU,DEU-DK-0001-0001,8764410,0.000190,1665.237900,0.000000,0.000000
