Product ID,Unit,JPY Transfer Price(per unit),JPY Transfer Price
USA-IP-0001-0001,1380,0.000000,0
UKI-DK-0002-0001,29760,0.000000,0
SIN-DK-0001-0001,744000,0.000000,0
DEU-IP-0001-0001,52436,0.000000,0
DEU-VM-0001-0001,3598,0.000000,0
DEU-DK-0002-0001,714040,0.000000,0
SIN-DK-0002-0001,22320,0.000000,0
SIN-NW-0001-0001,300,0.000000,0
SIN-VM-0001-0001,5952,0.000000,0
SIN-VM-0001-0004,2280,0.000000,0
UKI-NW-0001-0001,33,0.000000,0
UKI-VM-0001-0003,744,0.000000,0
SIN-IP-0001-0001,8184,0.000000,0
SIN-NW-0002-0001,1488,0.000000,0
UKI-NW-0002-0001,2976,0.000000,0
DEU-NW-0002-0001,58807,0.000000,0
UKI-DK-0001-0001,461280,0.000000,0
DEU-VM-0001-0004,30921,0.000000,0
DEU-NW-0001-0001,60,0.000000,0
DEU-VM-0001-0003,35510,0.000000,0
SIN-VM-0001-0002,3720,0.000000,0
DEU-NW-0002-0011,11214,0.000000,0
DEU-DK-0003-0001,11834480,0.000000,0
UKI-SD-0001-0001,260400,0.000000,0
USA-DK-0002-0001,37200,0.000000,0
DEU-SD-0001-0001,8131841,0.000000,0
USA-DK-0001-0001,85560,0.000000,0
DEU-VM-0001-0002,102091,0.000000,0
DEU-DK-0003-0002,7271550,0.000000,0
SIN-DK-0003-0002,379440,0.000000,0
DEU-DK-0001-0001,12333570,0.000000,0
SIN-DK-0003-0001,178600,0.000000,0
USA-SD-0001-0001,44160,0.000000,0
UKI-VM-0001-0001,744,0.000000,0
UKI-VM-0001-0002,5952,0.000000,0
SIN-SD-0001-0001,319920,0.000000,0
UKI-IP-0001-0001,5208,0.000000,0
Total,-,-,0
