ORG ID,VSYS ID,FW(RUN),FW(STOP),SLB(RUN),SLB(STOP),Eco(RUN),Eco(STOP),Std(RUN),Std(STOP),Adv(RUN),Adv(STOP),High(RUN),High(STOP),Total(RUN),Total(STOP),Total)
LVDMJL47,LVDMJL47-HYK7A3386,0,0,0,0,0,0,0,5,0,1,0,0,0,6,6
LVDMJL47,LVDMJL47-HYK7695MS,0,0,0,0,0,0,0,5,0,1,0,0,0,6,6
LVDMJL47,Total,0,0,0,0,0,0,0,10,0,2,0,0,0,12,12
DAHRWSVQ,DAHRWSVQ-ZG8INSPFM,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
DAHRWSVQ,DAHRWSVQ-1IAGBA6E5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
DAHRWSVQ,DAHRWSVQ-J0SYPLH0W,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
DAHRWSVQ,Total,0,0,0,0,2,2,0,1,0,0,0,0,2,3,5
96TFSMXJ,96TFSMXJ-ARIVC1GC5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
96TFSMXJ,Total,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PH6X30ND,PH6X30ND-M3VXSUDIB,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
PH6X30ND,PH6X30ND-O5WMRNZZM,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PH6X30ND,PH6X30ND-R8Z61UVRL,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PH6X30ND,Total,0,0,0,0,1,0,4,0,0,0,0,0,5,0,5
808H1YQ6,808H1YQ6-7OF2ASWOL,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
808H1YQ6,Total,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
DD53NWF9,DD53NWF9-ARIPM6TKF,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4
DD53NWF9,DD53NWF9-5MCEQS0HY,0,0,0,0,7,0,0,0,0,0,0,0,7,0,7
DD53NWF9,Total,0,0,0,0,11,0,0,0,0,0,0,0,11,0,11
9Z2MRKCY,9Z2MRKCY-FWOPAWU1Q,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
9Z2MRKCY,9Z2MRKCY-M3V1UH1E1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
9Z2MRKCY,Total,0,0,0,0,2,5,0,0,0,0,0,0,2,5,7
MGM2D8H1,MGM2D8H1-VC44QK52K,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
MGM2D8H1,MGM2D8H1-XE624VACR,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3
MGM2D8H1,Total,0,0,0,0,2,2,1,0,0,0,0,0,3,2,5
LMK6NLBK,LMK6NLBK-9QG1MQ5Q5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LMK6NLBK,Total,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PMJU8E02,PMJU8E02-4LCJ6GKFE,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PMJU8E02,PMJU8E02-BSJNNORKO,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
PMJU8E02,PMJU8E02-EVMQNPXTO,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PMJU8E02,PMJU8E02-5MDUFE7F4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PMJU8E02,Total,0,0,0,0,4,0,1,0,0,0,0,0,5,0,5
664LHG1I,664LHG1I-VC4EFEMTQ,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3
664LHG1I,Total,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3
